Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Assignee,Labels
Epic,"EP-1 — Offline Routing Engine Foundation","GOAL: Driver can navigate a pre-downloaded route end-to-end with zero connectivity with truck restrictions enforced.\n\nPRD COVERAGE: FR-3, FR-4\n\nSCOPE IN: OSM bundle format and packaging pipeline. Backend route export API. FleetMate truck restriction overlay (height, weight, tonnage bans). Local routing engine in driver app: turn-by-turn voice and visual, speed limits, ETA recalculation, deviation re-routing within bundle. CEE coverage: Poland, Germany, Czech Republic minimum. CFR validation on device pool.\n\nSCOPE OUT: Download trigger and UI (EP-2). Connectivity indicators (EP-3). HERE SDK (Phase 2). Hazmat routing accuracy parity. Corridor or region-level bundles.\n\nDEPENDENCIES: MOBILE — engine integration. BACKEND — route export API and truck restriction overlay. PLATFORM — local storage.\n\nSUCCESS METRIC: Offline Session Success Rate >=90% of offline-initiated sessions complete (measured in EP-5 pilot).\n\nRISKS: Multi-country bundle may exceed +150MB — validate Sprint 1. Sub-2GB RAM CFR degradation — mandatory post-launch monitoring segment.","Offline Routing Engine Foundation",,High,,"initiative_offline-navigation-mode source_cursor ep_EP-1 fr_FR-3 fr_FR-4 prio_must"
Epic,"EP-2 — Offline Route Download Pipeline","GOAL: Route bundles are downloaded automatically on dispatcher assignment and invalidated on cancellation — no driver action required.\n\nPRD COVERAGE: FR-1, FR-2, FR-6\n\nSCOPE IN: Dispatcher-to-device push trigger API. Background download manager (non-blocking, survives app backgrounding). Download progress indicator on route card. Offline-ready confirmation before departure. Download failure error state with retry. Cache invalidation on route cancellation or reassignment. Manual clear offline data in settings. Automated bundle deletion 24h after route completion.\n\nSCOPE OUT: Navigation engine (EP-1). Navigation screen connectivity indicator (EP-3). Corridor/region-level downloads (Phase 2).\n\nDEPENDENCIES: MOBILE — download manager, route card UI. BACKEND — push trigger API (new), bundle generation, cache invalidation. PLATFORM — storage management.\n\nSUCCESS METRIC: Bundle download completion rate >=85% of auto-triggered attempts within 3 minutes.\n\nRISKS: Push trigger is new Backend capability — confirm per-device targeting at story breakdown. Rural 3G download time may exceed 90s target.","Offline Route Download Pipeline",,High,,"initiative_offline-navigation-mode source_cursor ep_EP-2 fr_FR-1 fr_FR-2 fr_FR-6 prio_must"
Epic,"EP-3 — Driver Offline UX & Status Layer","GOAL: Driver always knows their offline mode state through a clear non-intrusive indicator — no ambiguity about route availability.\n\nPRD COVERAGE: FR-5\n\nSCOPE IN: Three-state connectivity status indicator (Online / Offline+Downloaded / Offline+NoRoute). Offline-ready route card badge. Non-blocking mid-trip route invalidation notification. Sub-2GB RAM performance warning on first offline session. Large-font high-contrast design — no driver interaction required.\n\nSCOPE OUT: Download progress indicator (EP-2). Dispatcher-side offline indicators (Phase 2). Navigation UI changes (EP-1).\n\nDEPENDENCIES: DESIGN — indicator design and route card states. MOBILE — implementation. EP-1 required for real connectivity states.\n\nSUCCESS METRIC: 0 pilot drivers report confusion about offline status in pilot debrief.\n\nRISKS: Indicator must not overlap safety-critical navigation elements — mandatory design review before implementation.","Driver Offline UX & Status Layer",,High,,"initiative_offline-navigation-mode source_cursor ep_EP-3 fr_FR-5 prio_must"
Epic,"EP-4 — Offline Observability & Instrumentation","GOAL: Offline Session Success Rate is measured and visible from day one of the pilot.\n\nPRD COVERAGE: FR-8\n\nSCOPE IN: Offline session event schema (started/completed/aborted). Event emission from driver app. Backend event ingestion. Internal dashboard: Offline Session Success Rate overall and segmented by fleet, driver, device RAM tier. Per-participant pilot monitoring view. Dashboard live within 2 weeks of pilot start.\n\nSCOPE OUT: Fleet owner-facing analytics (Phase 2). Battery consumption dashboard.\n\nDEPENDENCIES: DATA — pipeline and dashboard. MOBILE — event emission. BACKEND — event ingestion API.\n\nSUCCESS METRIC: Dashboard live and validated by test session replay before pilot day one.\n\nRISKS: System abort vs voluntary exit must be agreed before implementation — incorrect schema makes all KPI data unreliable.","Offline Observability & Instrumentation",,High,,"initiative_offline-navigation-mode source_cursor ep_EP-4 fr_FR-8 prio_must"
Epic,"EP-5 — Pilot Enablement & GA Readiness","GOAL: German fleet pilot runs on 10 drivers, written renewal sign-off obtained, and offline navigation reaches GA for all Growth-tier company driver accounts.\n\nPRD COVERAGE: FR-7\n\nSCOPE IN: Fleet-level feature flag for pilot cohort (CS-operable without deployment). Growth-tier eligibility gate (company drivers only, Growth/Scale tier only). Pilot cohort management. Post-pilot sign-off workflow. GA release configuration (server-side, no new app binary required).\n\nSCOPE OUT: User-facing feature toggle. A/B testing infrastructure. Starter-tier offline access. Owner-operator access in Phase 1.\n\nDEPENDENCIES: BACKEND — feature flag, eligibility gate. MOBILE — eligibility gate enforcement. DATA — per-participant monitoring (EP-4). CUSTOMER SUCCESS — pilot coordination and sign-off. German fleet account team — external. EP-1 through EP-4 must all be complete.\n\nSUCCESS METRIC: >=8 of 10 pilot drivers complete >=1 offline session. Written renewal sign-off obtained.\n\nRISKS: German fleet pilot delay is external dependency — CS must secure written schedule 3+ weeks before pilot start. CS owner currently unassigned.","Pilot Enablement & GA Readiness",,High,,"initiative_offline-navigation-mode source_cursor ep_EP-5 fr_FR-7 prio_must"
Story,"US-EP1-01 — Offline route bundle generation API","USER STORY: As the FleetMate system, I need to generate a downloadable offline route bundle for any assigned route so that the driver app can navigate without network connectivity.\n\nSCOPE: Bundle includes route geometry, turn-by-turn instructions, speed limits, truck restriction overlay (height, weight, tonnage bans). No hazmat data in Phase 1. Coverage: Poland, Germany, Czech Republic minimum. Versioned format must be agreed with Mobile before US-EP1-02 and US-EP2-01 begin.\n\nPRD: FR-3, FR-4\n\nDEPENDENCIES: None — defines bundle format contract for all other EP-1 and EP-2 stories. Must be complete before US-EP1-02 and US-EP2-01 begin.\n\nACCEPTANCE CRITERIA:\n- Given a route is assigned: When API called with route ID, Then bundle produced containing route geometry, instructions, speed limits, and truck restriction overlay.\n- Given a 500km CEE route: When bundle size measured, Then total does not exceed +150MB from baseline (target <=+118MB).\n- Given bundle generated: When format version checked, Then it conforms to agreed Mobile/Backend bundle format spec published at Sprint 1.\n- Given restriction data unavailable for a segment: When bundle generated, Then missing segment defaults to standard routing and is logged without blocking generation.\n\nOPEN QUESTION: Pre-generated and cached vs on-demand generation? Confirm Backend architecture before story is pointed.","","Offline Routing Engine Foundation",High,,"initiative_offline-navigation-mode source_cursor ep_EP-1 fr_FR-3 fr_FR-4 prio_must"
Story,"US-EP1-02 — Offline turn-by-turn navigation","USER STORY: As a company driver, I want to navigate my assigned route with turn-by-turn instructions even when my phone has no mobile signal, so that I can complete my trip on time without relying on connectivity in rural or industrial areas.\n\nSCOPE: Full offline navigation session: turn-by-turn voice and visual, speed limit display, ETA recalculation, deviation re-routing within bundle. Zero network requests from session start to destination. Does not cover download trigger (EP-2) or status indicator (EP-3). Research: drivers check app reliability before long-haul trips — one failure destroys trust.\n\nPRD: FR-3\n\nDEPENDENCIES: US-EP1-01 (bundle format must be defined). PLATFORM for local storage read access.\n\nACCEPTANCE CRITERIA:\n- Given driver has offline-ready route: When navigation starts with zero connectivity, Then turn-by-turn voice and visual instructions provided without any network call.\n- Given driver deviates within bundle corridor: When deviation detected, Then app re-routes within 5 seconds using local data.\n- Given driver navigating offline: When speed limit present in bundle, Then displayed correctly on navigation screen.\n- Given driver navigating offline: When 10 minutes from destination, Then ETA recalculated locally and shown without a network call.\n- Given full 500km test route: When session completes, Then CFR on test device (>=2GB RAM) not degraded vs pre-EP-1 baseline.","","Offline Routing Engine Foundation",High,,"initiative_offline-navigation-mode source_cursor ep_EP-1 fr_FR-3 prio_must"
Story,"US-EP1-03 — Offline truck restriction enforcement","USER STORY: As a company driver, I want my route to respect truck restrictions offline so that I do not accidentally take a restricted road when I have no signal.\n\nSCOPE: Enforces standard height, weight, and tonnage ban restrictions from FleetMate truck restriction overlay. Hazmat routing accuracy is an accepted Phase 1 gap — not in scope. Offline restrictions must be consistent with online routing for the same vehicle profile.\n\nPRD: FR-4\n\nDEPENDENCIES: US-EP1-01 (truck restriction overlay in bundle). US-EP1-02 (engine integrated).\n\nACCEPTANCE CRITERIA:\n- Given route includes height or weight restricted segments: When driver navigates offline, Then engine routes around restriction consistent with online behaviour for same vehicle profile.\n- Given road with tonnage ban in corridor: When driver navigates offline through that corridor, Then tonnage-banned road excluded and alternative used if available in bundle.\n- Given vehicle height exceeds a restriction: When offline bundle navigated, Then restricted road avoided and compliant alternative routed.\n\nOPEN QUESTION: Should a visible disclaimer be shown at offline session start informing driver that hazmat restrictions are not enforced in Phase 1? Requires Legal and CS input before pilot launch.","","Offline Routing Engine Foundation",High,,"initiative_offline-navigation-mode source_cursor ep_EP-1 fr_FR-4 prio_must"
Story,"US-EP2-01 — Auto-triggered download on route assignment","USER STORY: As a company driver, I want my route to be downloaded automatically when the dispatcher assigns it to me so that I do not have to remember to download it before I lose signal.\n\nSCOPE: Primary activation model. Dispatcher assigns route in web interface, push signal sent to driver device, bundle download begins automatically in background. No driver action required. Research context: prototype test showed 2/5 drivers completed manual download vs 5/5 for auto-trigger.\n\nPRD: FR-1\n\nDEPENDENCIES: US-EP1-01 (bundle must exist). Backend dispatcher-to-device push trigger API (new). Route assignment event as trigger source.\n\nACCEPTANCE CRITERIA:\n- Given dispatcher assigns route: When assignment confirmed, Then push trigger sent to driver device and background download begins within 30 seconds without driver action.\n- Given driver device is offline at time of assignment: When device reconnects, Then download begins within 60 seconds of reconnection.\n- Given driver already has cached bundle for route: When new bundle triggered by route update, Then new bundle replaces old one.\n\nOPEN QUESTION: Does existing push infrastructure support per-device driver targeting? Must be confirmed at Sprint 1 story breakdown — this is a hard blocking dependency.","","Offline Route Download Pipeline",High,,"initiative_offline-navigation-mode source_cursor ep_EP-2 fr_FR-1 prio_must"
Story,"US-EP2-02 — Background download with progress indicator","USER STORY: As a company driver, I want to see that my route is downloading in the background without interrupting what I am doing in the app so that I know offline mode is being prepared without effort.\n\nSCOPE: Download runs in background and survives app backgrounding (e.g. incoming call). Non-intrusive progress indicator on route card. Must not interrupt navigation, messaging, or other app functions. Design required.\n\nPRD: FR-2\n\nDEPENDENCIES: US-EP2-01 (download must be triggered). PLATFORM (local storage write).\n\nACCEPTANCE CRITERIA:\n- Given download triggered: When driver opens route card, Then progress indicator visible showing download is in progress.\n- Given download in progress and driver backgrounds app: When driver returns to FleetMate, Then download continued in background and progress indicator reflects current state.\n- Given download in progress and driver starts navigating another route: When navigation active, Then background download continues without interruption.\n- Given download completes while route card visible: When download finishes, Then progress indicator transitions to Offline Ready state without driver action.\n\nDESIGN: Component update to route card. Must be legible in direct sunlight. Must not overlap navigation CTA buttons. No full-screen loaders or modals. Figma: TBD.","","Offline Route Download Pipeline",High,,"initiative_offline-navigation-mode source_cursor ep_EP-2 fr_FR-2 prio_must"
